 10.2.2.0 - 10.2.2.255 ( United Kingdom, London )
 10.9.111.0 - 10.9.111.255 ( United States, New Jersey, Jersey City )
 10.9.130.0 - 10.9.130.255 ( United States, New Jersey, Jersey City )
 10.9.192.0 - 10.9.192.255 ( United States, New York, New York )
 10.9.193.0 - 10.9.193.255 ( United States, New York, New York )
 10.9.194.0 - 10.9.194.255 ( United States, New York, New York )
 10.9.195.0 - 10.9.195.255 ( United States, New York, New York )
 10.9.197.0 - 10.9.197.255 ( United States, New York, New York )
 10.9.199.0 - 10.9.199.255 ( United States, New York, New York )
 10.9.203.0 - 10.9.203.255 ( United States, New York, New York )
 10.9.211.0 - 10.9.211.255 ( United States, New York, New York )
 10.9.245.0 - 10.9.245.255 ( Canada, Alberta, Calgary )
 10.10.1.0 - 10.10.1.255 ( Canada, Ontario, Toronto )
 10.10.2.0 - 10.10.2.255 ( Canada, Ontario, Toronto )
 10.10.3.0 - 10.10.3.255 ( Canada, Ontario, Cambridge )
 10.10.6.0 - 10.10.6.255 ( United States, Minnesota, Minneapolis )
 10.10.8.0 - 10.10.8.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.10.9.0 - 10.10.9.255 ( Canada, Ontario, Toronto )
 10.10.10.0 - 10.10.10.255 ( Canada, Ontario, Toronto )
 10.10.11.0 - 10.10.11.255 ( United States, New York, New York )
 10.10.14.0 - 10.10.14.255 ( Canada, Ontario, Burlington )
 10.10.26.0 - 10.10.26.255 ( United States, North Carolina, Raleigh )
 10.10.27.0 - 10.10.27.255 ( Canada, Quebec, Montreal )
 10.10.32.0 - 10.10.32.255 ( United States, New Jersey, Jersey City )
 10.10.64.0 - 10.10.64.255 ( United States, New York, New York )
 10.10.65.0 - 10.10.65.255 ( United States, New York, New York )
 10.10.66.0 - 10.10.66.255 ( United States, New York, New York )
 10.10.67.0 - 10.10.67.255 ( United States, New York, New York )
 10.10.68.0 - 10.10.68.255 ( United States, New York, New York )
 10.10.69.0 - 10.10.69.255 ( United States, New York, New York )
 10.10.70.0 - 10.10.70.255 ( United States, New York, New York )
 10.10.71.0 - 10.10.71.255 ( United States, New York, New York )
 10.10.72.0 - 10.10.72.255 ( United States, New York, New York )
 10.10.73.0 - 10.10.73.255 ( United States, New York, New York )
 10.10.74.0 - 10.10.74.255 ( United States, New York, New York )
 10.10.75.0 - 10.10.75.255 ( United States, New York, New York )
 10.10.76.0 - 10.10.76.255 ( United States, New York, New York )
 10.10.77.0 - 10.10.77.255 ( United States, New York, New York )
 10.10.78.0 - 10.10.78.255 ( United States, New York, New York )
 10.10.79.0 - 10.10.79.255 ( United States, New York, New York )
 10.10.83.0 - 10.10.83.255 ( United States, New York, New York )
 10.10.84.0 - 10.10.84.255 ( United States, New York, New York )
 10.10.85.0 - 10.10.85.255 ( United States, New York, New York )
 10.10.86.0 - 10.10.86.255 ( United States, New York, New York )
 10.10.87.0 - 10.10.87.255 ( United States, New York, New York )
 10.10.91.0 - 10.10.91.255 ( United States, New York, New York )
 10.10.92.0 - 10.10.92.255 ( United States, New York, New York )
 10.10.93.0 - 10.10.93.255 ( United States, New York, New York )
 10.10.94.0 - 10.10.94.255 ( United States, New York, New York )
 10.10.95.0 - 10.10.95.255 ( United States, New York, New York )
 10.10.99.0 - 10.10.99.255 ( United States, New York, New York )
 10.10.100.0 - 10.10.100.255 ( United States, New York, New York )
 10.10.101.0 - 10.10.101.255 ( United States, New York, New York )
 10.10.102.0 - 10.10.102.255 ( United States, New York, New York )
 10.10.103.0 - 10.10.103.255 ( United States, New York, New York )
 10.10.104.0 - 10.10.104.255 ( United States, New York, New York )
 10.10.105.0 - 10.10.105.255 ( United States, New York, New York )
 10.10.107.0 - 10.10.107.255 ( United States, New York, New York )
 10.10.112.0 - 10.10.112.255 ( United States, New York, New York )
 10.10.113.0 - 10.10.113.255 ( United States, New York, New York )
 10.10.114.0 - 10.10.114.255 ( United States, New York, New York )
 10.10.116.0 - 10.10.116.255 ( United States, New York, New York )
 10.10.117.0 - 10.10.117.255 ( United States, New York, New York )
 10.10.118.0 - 10.10.118.255 ( United States, New York, New York )
 10.10.119.0 - 10.10.119.255 ( United States, New York, New York )
 10.10.121.0 - 10.10.121.255 ( United States, New York, New York )
 10.10.193.0 - 10.10.193.255 ( United States, New Jersey, Jersey City )
 10.10.248.0 - 10.10.248.255 ( Canada, Ontario, Toronto )
 10.11.0.0 - 10.11.0.255 ( Canada, British Columbia, Burnaby )
 10.11.1.0 - 10.11.1.255 ( Canada, British Columbia, North Vancouver )
 10.11.3.0 - 10.11.3.255 ( Canada, British Columbia, Ladysmith )
 10.11.4.0 - 10.11.4.255 ( Canada, Manitoba, Winnipeg )
 10.11.5.0 - 10.11.5.255 ( Canada, Manitoba, Winnipeg )
 10.11.6.0 - 10.11.6.255 ( Canada, Saskatchewan, Saskatoon )
 10.11.9.0 - 10.11.9.255 ( Canada, Alberta, Edmonton )
 10.11.10.0 - 10.11.10.255 ( Canada, British Columbia, Victoria )
 10.11.11.0 - 10.11.11.255 ( Canada, Alberta, Calgary )
 10.11.12.0 - 10.11.12.255 ( Canada, British Columbia, Vancouver )
 10.11.13.0 - 10.11.13.255 ( Canada, Alberta, Red Deer )
 10.11.14.0 - 10.11.14.255 ( Canada, Alberta, Okotoks )
 10.11.16.0 - 10.11.16.255 ( Canada, Alberta, Edmonton )
 10.11.17.0 - 10.11.17.255 ( Canada, Ontario, Toronto )
 10.11.18.0 - 10.11.18.255 ( Canada, Manitoba, Winnipeg )
 10.11.35.0 - 10.11.35.255 ( Canada, British Columbia, Vancouver )
 10.11.36.0 - 10.11.36.255 ( Canada, British Columbia, Vancouver )
 10.11.37.0 - 10.11.37.255 ( Canada, Ontario, Brampton )
 10.11.38.0 - 10.11.38.255 ( Canada, Ontario, Mississauga )
 10.11.39.0 - 10.11.39.255 ( Canada, British Columbia, North Vancouver )
 10.11.40.0 - 10.11.40.255 ( Canada, Quebec, Brossard )
 10.11.41.0 - 10.11.41.255 ( Canada, Nova Scotia, Yarmouth )
 10.11.42.0 - 10.11.42.255 ( Canada, Manitoba, Winnipeg )
 10.11.43.0 - 10.11.43.255 ( Canada, Ontario, Scarborough )
 10.11.44.0 - 10.11.44.255 ( Canada, Ontario, Toronto )
 10.11.45.0 - 10.11.45.255 ( Canada, Alberta, Fort Saskatchewan )
 10.11.47.0 - 10.11.47.255 ( Canada, British Columbia, Williams Lake )
 10.11.48.0 - 10.11.48.255 ( Canada, Alberta, Edmonton )
 10.11.50.0 - 10.11.50.255 ( Canada, British Columbia, Vancouver )
 10.11.51.0 - 10.11.51.255 ( Canada, British Columbia, Vancouver )
 10.11.53.0 - 10.11.53.255 ( Canada, Alberta, High River )
 10.11.54.0 - 10.11.54.255 ( Canada, Alberta, Edmonton )
 10.11.55.0 - 10.11.55.255 ( Canada, British Columbia, Victoria )
 10.11.56.0 - 10.11.56.255 ( Canada, British Columbia, Chilliwack )
 10.11.57.0 - 10.11.57.255 ( Canada, Manitoba, Winnipeg )
 10.11.58.0 - 10.11.58.255 ( Canada, Alberta, Calgary )
 10.11.59.0 - 10.11.59.255 ( Canada, Alberta, Sherwood Park )
 10.11.60.0 - 10.11.60.255 ( Canada, Alberta, Calgary )
 10.11.61.0 - 10.11.61.255 ( Canada, British Columbia, Surrey )
 10.11.62.0 - 10.11.62.255 ( Canada, Alberta, Beaumont )
 10.11.63.0 - 10.11.63.255 ( Canada, Alberta, Spruce Grove )
 10.11.64.0 - 10.11.64.255 ( Canada, Alberta, Calgary )
 10.11.65.0 - 10.11.65.255 ( Canada, Saskatchewan, Prince Albert )
 10.11.66.0 - 10.11.66.255 ( Canada, British Columbia, Surrey )
 10.11.67.0 - 10.11.67.255 ( Canada, British Columbia, Victoria )
 10.11.68.0 - 10.11.68.255 ( Canada, Alberta, Calgary )
 10.11.70.0 - 10.11.70.255 ( Canada, British Columbia, Kelowna )
 10.11.73.0 - 10.11.73.255 ( Canada, British Columbia, Langley )
 10.11.75.0 - 10.11.75.255 ( Canada, Quebec, Brossard )
 10.11.76.0 - 10.11.76.255 ( Canada, Alberta, Red Deer )
 10.11.94.0 - 10.11.94.255 ( Canada, Ontario, Kitchener )
 10.11.111.0 - 10.11.111.255 ( Canada, Ontario, Markham )
 10.11.113.0 - 10.11.113.255 ( Canada, Alberta, Edmonton )
 10.11.114.0 - 10.11.114.255 ( Canada, British Columbia, Richmond )
 10.11.115.0 - 10.11.115.255 ( Canada, Alberta, Edmonton )
 10.11.117.0 - 10.11.117.255 ( Canada, Manitoba, Brandon )
 10.11.130.0 - 10.11.130.255 ( Canada, Ontario, Toronto )
 10.12.9.0 - 10.12.9.255 ( Canada, Alberta, Calgary )
 10.12.66.0 - 10.12.66.255 ( Canada, Ontario, Toronto )
 10.12.67.0 - 10.12.67.255 ( Canada, Ontario, Toronto )
 10.14.213.0 - 10.14.213.255 ( Canada, Ontario, Toronto )
 10.16.6.0 - 10.16.6.255 ( Canada, Ontario, Toronto )
 10.16.100.0 - 10.16.100.255 ( Canada, Ontario, Toronto )
 10.17.0.0 - 10.17.0.255 ( United Kingdom, London )
 10.17.1.0 - 10.17.1.255 ( United Kingdom, London )
 10.17.2.0 - 10.17.2.255 ( United Kingdom, London )
 10.17.3.0 - 10.17.3.255 ( United Kingdom, London )
 10.17.4.0 - 10.17.4.255 ( United Kingdom, London )
 10.17.5.0 - 10.17.5.255 ( United Kingdom, London )
 10.17.6.0 - 10.17.6.255 ( United Kingdom, London )
 10.17.7.0 - 10.17.7.255 ( United Kingdom, London )
 10.17.8.0 - 10.17.8.255 ( United Kingdom, London )
 10.17.9.0 - 10.17.9.255 ( United Kingdom, London )
 10.17.10.0 - 10.17.10.255 ( United Kingdom, London )
 10.17.11.0 - 10.17.11.255 ( United Kingdom, London )
 10.17.12.0 - 10.17.12.255 ( United Kingdom, London )
 10.17.13.0 - 10.17.13.255 ( United Kingdom, London )
 10.17.14.0 - 10.17.14.255 ( United Kingdom, London )
 10.17.15.0 - 10.17.15.255 ( United Kingdom, London )
 10.17.16.0 - 10.17.16.255 ( United Kingdom, London )
 10.17.17.0 - 10.17.17.255 ( United Kingdom, London )
 10.17.18.0 - 10.17.18.255 ( United Kingdom, London )
 10.17.19.0 - 10.17.19.255 ( United Kingdom, London )
 10.17.21.0 - 10.17.21.255 ( United Kingdom, London )
 10.17.98.0 - 10.17.98.255 ( United Kingdom, London )
 10.17.99.0 - 10.17.99.255 ( United Kingdom, London )
 10.17.104.0 - 10.17.104.255 ( United Kingdom, London )
 10.17.128.0 - 10.17.128.255 ( United Kingdom, London )
 10.17.129.0 - 10.17.129.255 ( United Kingdom, London )
 10.17.130.0 - 10.17.130.255 ( United Kingdom, London )
 10.17.131.0 - 10.17.131.255 ( United Kingdom, London )
 10.17.132.0 - 10.17.132.255 ( United Kingdom, London )
 10.17.134.0 - 10.17.134.255 ( United Kingdom, London )
 10.17.135.0 - 10.17.135.255 ( United Kingdom, London )
 10.17.136.0 - 10.17.136.255 ( United Kingdom, London )
 10.17.137.0 - 10.17.137.255 ( United Kingdom, London )
 10.17.138.0 - 10.17.138.255 ( United Kingdom, London )
 10.17.139.0 - 10.17.139.255 ( United Kingdom, London )
 10.17.140.0 - 10.17.140.255 ( United Kingdom, London )
 10.17.141.0 - 10.17.141.255 ( United Kingdom, London )
 10.17.142.0 - 10.17.142.255 ( United Kingdom, London )
 10.17.145.0 - 10.17.145.255 ( United Kingdom, London )
 10.17.162.0 - 10.17.162.255 ( United Kingdom, London )
 10.17.224.0 - 10.17.224.255 ( United Kingdom, London )
 10.17.225.0 - 10.17.225.255 ( United Kingdom, London )
 10.17.227.0 - 10.17.227.255 ( United Kingdom, London )
 10.17.228.0 - 10.17.228.255 ( United Kingdom, London )
 10.17.230.0 - 10.17.230.255 ( United Kingdom, London )
 10.17.248.0 - 10.17.248.255 ( United Kingdom, London )
 10.18.112.0 - 10.18.112.255 ( United Kingdom, London )
 10.18.133.0 - 10.18.133.255 ( India, Tamil Nadu, Chennai )
 10.18.140.0 - 10.18.140.255 ( India, Maharashtra, Mumbai )
 10.18.141.0 - 10.18.141.255 ( United Kingdom, London )
 10.18.223.0 - 10.18.223.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.18.240.0 - 10.18.240.255 ( United Kingdom, London )
 10.18.241.0 - 10.18.241.255 ( United Kingdom, London )
 10.19.0.0 - 10.19.0.255 ( Canada, Saskatchewan, Indian Head )
 10.19.1.0 - 10.19.1.255 ( Canada, Saskatchewan, Watrous )
 10.19.2.0 - 10.19.2.255 ( Canada, Ontario, Atikokan )
 10.19.3.0 - 10.19.3.255 ( Canada, Alberta, Evansburg )
 10.19.4.0 - 10.19.4.255 ( Canada, British Columbia, New Hazelton )
 10.19.5.0 - 10.19.5.255 ( Canada, Saskatchewan, Luseland )
 10.19.6.0 - 10.19.6.255 ( Canada, British Columbia, Surrey )
 10.19.7.0 - 10.19.7.255 ( Canada, Ontario, Geraldton )
 10.19.8.0 - 10.19.8.255 ( Canada, Alberta, High Prairie )
 10.19.9.0 - 10.19.9.255 ( Canada, Alberta, Peace River )
 10.19.10.0 - 10.19.10.255 ( Canada, Alberta, Pincher Creek )
 10.19.11.0 - 10.19.11.255 ( Canada, Alberta, Sexsmith )
 10.19.12.0 - 10.19.12.255 ( Canada, Alberta, Didsbury )
 10.19.13.0 - 10.19.13.255 ( Canada, Saskatchewan, Kerrobert )
 10.19.14.0 - 10.19.14.255 ( Canada, Alberta, Taber )
 10.19.15.0 - 10.19.15.255 ( Canada, Alberta, Three Hills )
 10.19.16.0 - 10.19.16.255 ( Canada, Saskatchewan, Lumsden )
 10.19.17.0 - 10.19.17.255 ( Canada, Saskatchewan, Eyebrow )
 10.19.18.0 - 10.19.18.255 ( Canada, Saskatchewan, Melville )
 10.19.25.0 - 10.19.25.255 ( Canada, Ontario, Toronto )
 10.19.36.0 - 10.19.36.255 ( Canada, Alberta, Calgary )
 10.19.37.0 - 10.19.37.255 ( Canada, Ontario, Oakville )
 10.19.38.0 - 10.19.38.255 ( Canada, British Columbia, Vancouver )
 10.19.39.0 - 10.19.39.255 ( Canada, Alberta, Calgary )
 10.19.40.0 - 10.19.40.255 ( Canada, Alberta, Turner Valley )
 10.19.41.0 - 10.19.41.255 ( Canada, Manitoba, Winnipeg )
 10.20.2.0 - 10.20.2.255 ( Canada, Ontario, Waterloo )
 10.20.20.0 - 10.20.20.255 ( Canada, Ontario, Toronto )
 10.20.29.0 - 10.20.29.255 ( Canada, Ontario, Toronto )
 10.22.2.0 - 10.22.2.255 ( Canada, Quebec, Mont Saint-Hilaire )
 10.22.3.0 - 10.22.3.255 ( Canada, Ontario, Toronto )
 10.22.4.0 - 10.22.4.255 ( Canada, Alberta, Red Deer )
 10.22.5.0 - 10.22.5.255 ( Canada, Ontario, St Catharines )
 10.22.6.0 - 10.22.6.255 ( Canada, Nova Scotia, Dartmouth )
 10.22.7.0 - 10.22.7.255 ( Canada, Saskatchewan, Estevan )
 10.22.8.0 - 10.22.8.255 ( Canada, Ontario, Mississauga )
 10.22.9.0 - 10.22.9.255 ( Canada, Ontario, Timmins )
 10.22.10.0 - 10.22.10.255 ( Canada, New Brunswick, Fredericton )
 10.22.11.0 - 10.22.11.255 ( Canada, Ontario, King City )
 10.22.12.0 - 10.22.12.255 ( Canada, Quebec, Berthierville )
 10.22.13.0 - 10.22.13.255 ( Canada, Newfoundland, St John's )
 10.22.14.0 - 10.22.14.255 ( Canada, British Columbia, Abbotsford )
 10.22.15.0 - 10.22.15.255 ( Canada, Ontario, Ottawa )
 10.22.16.0 - 10.22.16.255 ( Canada, Ontario, Toronto )
 10.22.17.0 - 10.22.17.255 ( Canada, Ontario, Toronto )
 10.22.18.0 - 10.22.18.255 ( Canada, British Columbia, Vancouver )
 10.22.19.0 - 10.22.19.255 ( Canada, Ontario, Peterborough )
 10.22.20.0 - 10.22.20.255 ( Canada, Alberta, Edmonton )
 10.22.21.0 - 10.22.21.255 ( Canada, Alberta, Calgary )
 10.22.22.0 - 10.22.22.255 ( Canada, Alberta, Airdrie )
 10.22.23.0 - 10.22.23.255 ( Canada, Quebec, St-Hubert )
 10.22.24.0 - 10.22.24.255 ( Canada, Saskatchewan, Regina )
 10.22.25.0 - 10.22.25.255 ( Canada, Alberta, Calgary )
 10.22.26.0 - 10.22.26.255 ( Canada, Ontario, Toronto )
 10.22.27.0 - 10.22.27.255 ( Canada, Ontario, Toronto )
 10.22.28.0 - 10.22.28.255 ( Canada, Ontario, Mississauga )
 10.22.29.0 - 10.22.29.255 ( Canada, Quebec, Montreal )
 10.22.30.0 - 10.22.30.255 ( Canada, Alberta, Lethbridge )
 10.22.31.0 - 10.22.31.255 ( Canada, Alberta, Fort Mcmurray )
 10.22.32.0 - 10.22.32.255 ( Canada, Quebec, Chambly )
 10.22.33.0 - 10.22.33.255 ( Canada, Ontario, Toronto )
 10.22.34.0 - 10.22.34.255 ( Canada, Ontario, Markham )
 10.22.35.0 - 10.22.35.255 ( Canada, Ontario, Scarborough )
 10.22.37.0 - 10.22.37.255 ( Canada, Ontario, Brampton )
 10.22.38.0 - 10.22.38.255 ( Canada, Ontario, Brampton )
 10.22.39.0 - 10.22.39.255 ( Canada, Ontario, Brampton )
 10.22.40.0 - 10.22.40.255 ( Canada, Manitoba, Winnipeg )
 10.22.41.0 - 10.22.41.255 ( Canada, Saskatchewan, Warman )
 10.22.42.0 - 10.22.42.255 ( Canada, Quebec, Terrebonne )
 10.22.43.0 - 10.22.43.255 ( Canada, Ontario, Oshawa )
 10.22.44.0 - 10.22.44.255 ( Canada, Ontario, Gloucester )
 10.22.45.0 - 10.22.45.255 ( Canada, Ontario, Cambridge )
 10.22.46.0 - 10.22.46.255 ( Canada, Ontario, Markham )
 10.22.47.0 - 10.22.47.255 ( Canada, Ontario, Milton )
 10.22.49.0 - 10.22.49.255 ( Canada, Ontario, Pakenham )
 10.22.50.0 - 10.22.50.255 ( Canada, Quebec, Terrebonne )
 10.22.54.0 - 10.22.54.255 ( Canada, Ontario, Toronto )
 10.22.55.0 - 10.22.55.255 ( Canada, Ontario, Scarborough )
 10.22.58.0 - 10.22.58.255 ( Canada, British Columbia, West Vancouver )
 10.22.62.0 - 10.22.62.255 ( Canada, Ontario, North York )
 10.22.63.0 - 10.22.63.255 ( Canada, Ontario, Richmond Hill )
 10.22.66.0 - 10.22.66.255 ( Canada, British Columbia, Coquitlam )
 10.22.68.0 - 10.22.68.255 ( Canada, Ontario, Manotick )
 10.22.70.0 - 10.22.70.255 ( Canada, Ontario, Ottawa )
 10.22.72.0 - 10.22.72.255 ( Canada, British Columbia, Sooke )
 10.22.74.0 - 10.22.74.255 ( Canada, Quebec, Blainville )
 10.22.77.0 - 10.22.77.255 ( Canada, Ontario, Oakville )
 10.22.78.0 - 10.22.78.255 ( Canada, Ontario, Toronto )
 10.22.80.0 - 10.22.80.255 ( Canada, British Columbia, Victoria )
 10.22.81.0 - 10.22.81.255 ( Canada, Quebec, Montreal )
 10.22.83.0 - 10.22.83.255 ( Canada, Alberta, St. Albert )
 10.22.84.0 - 10.22.84.255 ( Canada, Ontario, Brockville )
 10.22.85.0 - 10.22.85.255 ( Canada, Alberta, Edmonton )
 10.22.86.0 - 10.22.86.255 ( Canada, Ontario, Brampton )
 10.22.87.0 - 10.22.87.255 ( Canada, Ontario, Brampton )
 10.22.88.0 - 10.22.88.255 ( Canada, Ontario, Oakville )
 10.22.89.0 - 10.22.89.255 ( Canada, British Columbia, Lake Country )
 10.22.90.0 - 10.22.90.255 ( Canada, Ontario, Toronto )
 10.22.91.0 - 10.22.91.255 ( Canada, Ontario, Bracebridge )
 10.22.92.0 - 10.22.92.255 ( Canada, British Columbia, Vancouver )
 10.22.93.0 - 10.22.93.255 ( Canada, Alberta, Calgary )
 10.22.94.0 - 10.22.94.255 ( Canada, Ontario, Toronto )
 10.22.97.0 - 10.22.97.255 ( Canada, Ontario, Nobleton )
 10.22.99.0 - 10.22.99.255 ( Canada, British Columbia, Maple Ridge )
 10.22.100.0 - 10.22.100.255 ( Canada, Alberta, Grande Prairie )
 10.22.102.0 - 10.22.102.255 ( Canada, Quebec, Montreal )
 10.22.103.0 - 10.22.103.255 ( Canada, Alberta, Edmonton )
 10.22.104.0 - 10.22.104.255 ( Canada, Alberta, Lloydminster )
 10.22.105.0 - 10.22.105.255 ( Canada, British Columbia, North Vancouver )
 10.22.107.0 - 10.22.107.255 ( Canada, Ontario, Hamilton )
 10.22.110.0 - 10.22.110.255 ( Canada, British Columbia, Vancouver )
 10.22.113.0 - 10.22.113.255 ( Canada, Ontario, Toronto )
 10.22.114.0 - 10.22.114.255 ( Canada, Alberta, Calgary )
 10.23.0.0 - 10.23.0.255 ( Canada, Alberta, Edson )
 10.23.1.0 - 10.23.1.255 ( Canada, British Columbia, Port Coquitlam )
 10.23.2.0 - 10.23.2.255 ( Canada, British Columbia, Vancouver )
 10.23.3.0 - 10.23.3.255 ( Canada, Alberta, Lethbridge )
 10.23.4.0 - 10.23.4.255 ( Canada, Northwest Territories, Hay River )
 10.23.5.0 - 10.23.5.255 ( Canada, Alberta, Westlock )
 10.23.6.0 - 10.23.6.255 ( Canada, Saskatchewan, Moosomin )
 10.23.23.0 - 10.23.23.255 ( Canada, Alberta, Calgary )
 10.23.25.0 - 10.23.25.255 ( Canada, British Columbia, Prince George )
 10.23.26.0 - 10.23.26.255 ( Canada, Alberta, Camrose )
 10.23.27.0 - 10.23.27.255 ( Canada, British Columbia, Penticton )
 10.23.28.0 - 10.23.28.255 ( Canada, Alberta, Calgary )
 10.23.29.0 - 10.23.29.255 ( Canada, Alberta, Medicine Hat )
 10.23.30.0 - 10.23.30.255 ( Canada, Alberta, Calgary )
 10.23.31.0 - 10.23.31.255 ( Canada, British Columbia, Langley )
 10.23.32.0 - 10.23.32.255 ( Canada, Alberta, Calgary )
 10.23.34.0 - 10.23.34.255 ( Canada, Alberta, Fort McMurray )
 10.23.35.0 - 10.23.35.255 ( Canada, British Columbia, Maple Ridge )
 10.23.36.0 - 10.23.36.255 ( Canada, British Columbia, Delta )
 10.23.37.0 - 10.23.37.255 ( Canada, British Columbia, White Rock )
 10.23.38.0 - 10.23.38.255 ( Canada, British Columbia, Sechelt )
 10.23.39.0 - 10.23.39.255 ( Canada, British Columbia, Squamish )
 10.23.40.0 - 10.23.40.255 ( Canada, British Columbia, North Vancouver )
 10.23.42.0 - 10.23.42.255 ( Canada, British Columbia, West Vancouver )
 10.23.44.0 - 10.23.44.255 ( Canada, British Columbia, Victoria )
 10.23.45.0 - 10.23.45.255 ( Canada, British Columbia, Victoria )
 10.23.46.0 - 10.23.46.255 ( Canada, British Columbia, Victoria )
 10.23.47.0 - 10.23.47.255 ( Canada, British Columbia, Nanaimo )
 10.23.48.0 - 10.23.48.255 ( Canada, British Columbia, Parksville )
 10.23.49.0 - 10.23.49.255 ( Canada, British Columbia, Sidney )
 10.23.50.0 - 10.23.50.255 ( Canada, British Columbia, Victoria )
 10.23.52.0 - 10.23.52.255 ( Canada, British Columbia, Kelowna )
 10.23.53.0 - 10.23.53.255 ( Canada, Manitoba, Winnipeg )
 10.23.54.0 - 10.23.54.255 ( Canada, British Columbia, Clearbrook )
 10.23.57.0 - 10.23.57.255 ( Canada, Alberta, Calgary )
 10.23.58.0 - 10.23.58.255 ( Canada, British Columbia, Langley )
 10.23.59.0 - 10.23.59.255 ( Canada, British Columbia, Abbotsford )
 10.23.60.0 - 10.23.60.255 ( Canada, British Columbia, Coquitlam )
 10.23.62.0 - 10.23.62.255 ( Canada, British Columbia, Coquitlam )
 10.23.63.0 - 10.23.63.255 ( Canada, British Columbia, Delta )
 10.23.64.0 - 10.23.64.255 ( Canada, Alberta, Calgary )
 10.23.66.0 - 10.23.66.255 ( Canada, British Columbia, Chilliwack )
 10.23.67.0 - 10.23.67.255 ( Canada, Alberta, Edmonton )
 10.23.68.0 - 10.23.68.255 ( Canada, British Columbia, Whistler )
 10.23.69.0 - 10.23.69.255 ( Canada, Alberta, St Albert )
 10.23.70.0 - 10.23.70.255 ( Canada, British Columbia, Vancouver )
 10.23.74.0 - 10.23.74.255 ( Canada, British Columbia, Vancouver )
 10.23.76.0 - 10.23.76.255 ( Canada, British Columbia, Vancouver )
 10.27.0.0 - 10.27.0.255 ( Canada, Manitoba, Winnipeg )
 10.27.1.0 - 10.27.1.255 ( Canada, Manitoba, Virden )
 10.27.2.0 - 10.27.2.255 ( Canada, Manitoba, Thompson )
 10.27.3.0 - 10.27.3.255 ( Canada, Manitoba, Neepawa )
 10.27.4.0 - 10.27.4.255 ( Canada, Manitoba, Melita )
 10.27.5.0 - 10.27.5.255 ( Canada, Saskatchewan, Windthorst )
 10.27.6.0 - 10.27.6.255 ( Canada, Alberta, Wetaskiwin )
 10.27.7.0 - 10.27.7.255 ( Canada, British Columbia, Summerland )
 10.27.8.0 - 10.27.8.255 ( Canada, Saskatchewan, Shaunavon )
 10.27.9.0 - 10.27.9.255 ( Canada, Ontario, Kenora )
 10.27.10.0 - 10.27.10.255 ( Canada, Alberta, Calgary )
 10.27.11.0 - 10.27.11.255 ( Canada, Saskatchewan, Melville )
